,OverallQual,GrLivArea,TotalBsmtSF,GarageCars,FullBath,YearBuilt,SalePrice,ExterQual_E,BsmtQual_E,FireplaceQu_E,HeatingQC_E,GarageFinish_E,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker
29,4,6.25575004175,6.25575004175,1.0,1,-1.46288113423,11.1345890243,3,3.0,0,2,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,7.18387071506,6.47697236289,1.0,1,-1.69396950921,10.5966347331,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,7.11395610957,7.11395610957,1.0,1,-0.175388759322,11.9140478236,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,8,7.11882624906,7.11882624906,2.0,2,1.17812886558,12.1001564199,4,5.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,7.4389715924,7.24351297467,2.0,1,-0.406477134305,12.0167264738,3,3.0,4,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,9,7.3537223304,7.3537223304,2.0,2,1.11210361558,12.5335762122,5,5.0,4,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,8,7.80506704426,7.01929665372,3.0,3,1.07909099058,12.6410965559,4,5.0,4,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,5,7.00124562207,7.00124562207,2.0,1,0.748964740608,11.8844890214,3,4.0,0,5,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,7.16857989726,7.16857989726,2.0,1,-0.571540259292,11.9381932004,3,3.0,3,4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,5,6.96413561242,6.96413561242,1.0,1,-0.60455288429,11.5991031612,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,4,7.05012252027,0.0,0.0,2,-0.538527634295,11.3144745262,3,0.0,0,3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,7.18916773842,6.99301512293,2.0,2,-0.20840138432,11.9829290942,3,3.0,3,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,5,7.19218205871,7.20860033796,1.0,1,-0.406477134305,12.043553716,3,3.0,4,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,5,6.78558764501,6.73459165997,2.0,1,0.385825865636,11.8775685786,3,4.0,0,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,5,6.84481547921,6.84481547921,1.0,1,0.121724865655,11.7772109596,3,4.0,0,3,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5,7.04838640872,7.04838640872,1.0,1,-0.406477134305,11.8565151694,3,3.0,0,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,9,7.46908388492,7.46908388492,2.0,2,1.11210361558,12.6757637259,5,5.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,7,7.67322312112,7.26892012819,2.0,1,1.04607836559,12.3870850124,4,5.0,5,5,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,7.41276401743,7.41276401743,3.0,2,1.14511624058,12.4280154763,4,4.0,0,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,4,7.28138566357,6.60258789219,0.0,2,-1.69396950921,11.6351430977,3,3.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,5,6.86275791305,6.86275791305,1.0,1,-0.175388759322,11.7519423654,3,3.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,6,7.2936977206,6.67834211465,2.0,2,0.848002615601,12.0839050116,3,4.0,0,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6,7.07072410726,6.70563909486,2.0,1,-1.23179275924,11.648330102,3,3.0,4,3,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5,6.70563909486,6.70563909486,2.0,1,-0.274426634315,11.6082356448,2,4.0,0,3,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,9,7.51914995767,7.51914995767,3.0,0,0.319800615641,12.8609986133,4,5.0,4,4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,5,7.21597500265,5.95324333429,2.0,1,-0.538527634295,11.7752897294,3,3.0,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,6,7.26262860097,7.26262860097,2.0,2,-0.241414009317,12.1034860568,3,3.0,4,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,8,7.46164039221,6.87832646829,2.0,2,0.914027865596,12.0581525155,4,4.0,0,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,7,7.45066079621,6.75809450443,2.0,2,1.07909099058,12.1884177103,4,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10,7.98820359702,7.25205395185,3.0,3,1.14511624058,12.9917534275,5,5.0,4,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,5,6.66057514984,6.66057514984,1.0,1,0.0226869906629,11.7352686961,3,3.0,0,5,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,7.05531284334,7.05531284334,2.0,1,1.07909099058,11.970350312,3,4.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,5,7.01391547481,6.27476202124,1.0,1,-1.69396950921,11.5228757958,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8,7.22329567956,7.22329567956,2.0,2,1.14511624058,12.2184951655,4,4.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,7,7.44483327389,6.35784226651,2.0,2,-1.66095688421,11.8493977016,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,7,7.61825109788,6.96413561242,2.0,2,0.848002615601,12.2991075115,3,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,7.81359155295,7.04228617194,3.0,2,1.07909099058,12.6666570529,4,5.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,7,7.6998424074,7.5745584842,2.0,2,-0.0433382593321,12.1007121299,3,4.0,4,3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,7,7.29979736676,7.28207365809,2.0,2,1.04607836559,12.3282902783,4,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,4,6.61740297797,6.61740297797,1.0,1,-0.86865388427,11.2897819137,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,7,7.7354333525,7.17395831976,2.0,2,-0.60455288429,12.3238556812,4,3.0,3,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7,7.70706265537,7.70706265537,2.0,2,0.0556996156604,12.4049235043,3,4.0,4,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,4,6.74051935961,6.74051935961,2.0,1,0.352813240638,11.7714361601,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7,7.44949800538,6.72503364217,2.0,2,0.881015240598,12.1281111041,3,4.0,3,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5,6.99117688712,6.99117688712,2.0,1,-0.571540259292,11.8837991283,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,3,7.38150189451,6.73459165997,1.0,2,-1.8590326342,11.5843154611,4,2.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,4,6.89669433162,6.13772705409,1.0,1,0.0556996156604,11.4186147855,3,4.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4,6.85961490365,6.85961490365,1.0,1,-0.505515009297,11.8185702378,3,3.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,5,7.1592919048,6.51174532964,1.0,1,-0.769616009277,11.7519423654,3,3.0,0,3,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4,7.47816969416,7.47816969416,0.0,2,-0.109363509327,11.8240798936,3,3.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,5,7.11558212618,6.08904487545,2.0,1,-2.02409575918,11.6082356448,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,6,7.66996199547,6.79905586206,1.0,2,-0.109363509327,12.1730327915,3,4.0,4,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,6,7.19893124069,7.12125245324,2.0,2,0.881015240598,11.941455846,3,5.0,0,5,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8,7.35500192111,7.35500192111,3.0,2,1.17812886558,12.4090134895,3,4.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,5,6.97166860473,6.97166860473,2.0,1,-0.373464509307,11.7479975871,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,7,7.29641326877,5.95324333429,2.0,2,0.781977365606,12.0346910288,3,4.0,3,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,8,7.79069603117,7.16162200294,2.0,2,0.649926865616,12.46843691,4,4.0,3,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,6,7.35308192052,6.52941883826,2.0,2,1.11210361558,12.0668105782,4,4.0,4,5,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6,7.11069612298,6.41836493594,2.0,2,1.24415411557,12.0106658492,4,4.0,0,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,3,7.33106030522,6.92165818415,0.0,1,-1.8590326342,11.3504065355,2,3.0,0,3,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,6.89871453433,6.89871453433,0.0,1,0.748964740608,11.724805824,3,4.0,0,5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4,6.94793706861,0.0,2.0,1,-0.703590759282,11.6073261404,3,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,5,7.11963563802,7.11963563802,2.0,1,-0.34045188431,11.4988265406,3,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,5,6.87212810134,6.77650699237,2.0,1,-1.66095688421,12.0045682693,3,4.0,0,5,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,6,7.73718007783,7.10249935577,2.0,2,-2.02409575918,11.8048485317,3,3.0,4,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,6,7.48829351516,6.71538338633,2.0,2,0.848002615601,12.2295450017,3,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6,7.2936977206,6.52356230615,2.0,2,0.715952115611,12.1281111041,5,4.0,3,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,7,7.37086016654,7.37086016654,2.0,2,0.914027865596,12.273731294,4,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,4,6.86797440897,6.86797440897,1.0,1,-0.20840138432,11.4589971229,3,3.0,0,3,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5,6.72862861308,6.12905021006,1.0,1,-1.69396950921,11.3265958868,3,3.0,0,2,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4,7.1115121165,6.85751406255,0.0,1,-0.406477134305,11.7671800113,3,3.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,6,7.38461038318,7.38461038318,2.0,2,0.18775011565,12.2307652581,3,3.0,3,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,6,7.45760928972,6.60934924317,2.0,2,0.451851115631,12.0895388293,4,4.0,3,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,5,7.33693691371,0.0,2.0,2,0.253775365645,11.6865762053,3,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,7,7.11232744471,7.11232744471,3.0,2,1.24415411557,12.2005574648,3,4.0,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7,7.50604217852,6.94793706861,1.0,1,-1.33083063424,12.0406082058,3,3.0,3,5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,7.59739632021,6.9603477291,2.0,2,1.04607836559,12.4292161968,4,5.0,4,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,4,6.95463886488,6.46458830369,1.0,1,-2.84941138412,11.512925465,3,2.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,5,6.67203294546,6.67203294546,1.0,1,-0.769616009277,11.6526874073,3,3.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,5,7.32514895796,6.67708346125,0.0,2,-1.72698213421,11.6526874073,3,3.0,0,3,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6,7.52023455647,7.52023455647,2.0,2,0.18775011565,12.1547793511,3,4.0,3,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,6,7.52617891335,6.90274273716,1.0,2,-0.571540259292,11.8270060113,3,3.0,0,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7,7.26612877956,5.95324333429,2.0,2,0.947040490593,12.1007121299,3,4.0,3,5,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7,7.89989532314,7.14282740116,3.0,2,1.17812886558,12.8583197035,4,5.0,4,5,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6,7.72312009227,7.50108212426,2.0,2,-0.60455288429,12.2876526325,3,4.0,4,3,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6,7.74975340627,6.93634273583,1.0,2,-0.86865388427,12.4665119816,3,3.0,3,5,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6,7.28550654852,6.59304453414,2.0,2,0.914027865596,12.078239274,3,4.0,2,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,5,6.99668148818,6.99668148818,1.0,1,-0.307439259312,11.8422292121,3,3.0,1,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,5,7.0264268087,7.0264268087,2.0,1,1.14511624058,11.9511803959,3,4.0,0,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,7,8.07806788182,7.42297125105,3.0,3,0.616914240618,12.6760762748,3,4.0,3,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,6,7.2841348062,6.59167373201,2.0,2,1.11210361558,12.0075607293,4,4.0,4,5,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6,6.89669433162,6.84481547921,2.0,1,-0.0763508843296,12.1007121299,3,3.0,3,5,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4,7.02464903045,6.59714570189,1.0,1,-1.06672963425,11.512925465,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,6,6.98564181764,6.98564181764,1.0,1,-0.439489759302,11.8204101647,3,3.0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,6,7.09007683578,7.09007683578,2.0,2,0.715952115611,11.9440583198,4,4.0,0,5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,6,7.36960072053,7.2174434317,2.0,2,0.253775365645,12.1062523102,3,4.0,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,6,6.62671774925,6.25575004175,0.0,1,-1.19878013425,11.3445068133,3,3.0,0,4,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,6,6.86589107488,6.98378996526,2.0,2,0.154737490653,11.7597855429,3,4.0,3,3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,5,6.73459165997,6.51174532964,0.0,1,-1.36384325923,11.3736633976,3,3.0,3,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,6,7.20711885621,6.49375383985,2.0,1,-0.175388759322,11.9511803959,3,3.0,2,3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,5,6.9603477291,6.91671502035,2.0,1,-0.439489759302,11.9183905731,3,3.0,0,3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,7,7.67693714582,6.82979373751,2.0,2,-0.175388759322,12.3282902783,3,3.0,4,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,6,7.62803112693,6.90073066405,2.0,2,0.947040490593,12.4049235043,4,4.0,3,5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
